,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
0,Benefon,Vega,GSM,GSM 900,No,No,1999,Discontinued,145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in),190 g (6.70 oz),Mini-SIM,Monochrome graphic,,6 lines,Cyrillic characters,No
1,Garmin-Asus,nuvifone M10,GSM / HSPA,GSM 900 / 1800 / 1900,,,"2010, January. Released 2010, March",Discontinued,-,-,Mini-SIM,"TFT resistive touchscreen, 65K colors","3.5 inches, 34.9 cm","480 x 800 pixels, 5:3 ratio (~267 ppi density)",,microSDHC (dedicated slot)
2,Gigabyte,GSmart G1305 Boston,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2010, April. Released 2010, April",Discontinued,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),118 g (4.16 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm (~46.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",,microSDHC (dedicated slot)
3,Gigabyte,GSmart,GSM / HSPA,GSM 900 / 1800,,,Not officially announced yet,Cancelled,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),-,Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm (~43.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,microSDHC (dedicated slot)
4,Google,Pixel 4 XL,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, October 15","Available. Released 2019, October 22",160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193 g (6.81 oz),Nano-SIM card & eSIM,"P-OLED capacitive touchscreen, 16M colors","6.3 inches, 98.0 cm (~81.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)",HDR  Always-on display  90Hz refresh rate,No
5,Google,Pixel 4,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, October 15","Available. Released 2019, October 22",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162 g (5.71 oz),Nano-SIM card & eSIM,"P-OLED capacitive touchscreen, 16M colors","5.7 inches, 80.7 cm (~79.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)",HDR  Always-on display  90Hz refresh rate,No
6,Google,Pixel 3a XL,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, May 07","Available. Released 2019, May 15",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167 g (5.89 oz),"Nano-SIM, eSIM","OLED capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm (~76.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Always-on display,No
7,Google,Pixel 3a,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, May 07","Available. Released 2019, May 15",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147 g (5.19 oz),Nano-SIM,"OLED capacitive touchscreen, 16M colors","5.6 inches, 79.6 cm (~75.0% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)",Always-on display,No
8,Haier,N60,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),131 g (4.62 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors",,"320 x 240 pixels, 4:3 ratio","Handwriting Recognition  Swivel and rotate  Screensavers, logos",SDIO/MMC
9,Haier,T3000,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in),85 g (3.00 oz),Mini-SIM,65K colors,,128 x 160 pixels,Screensaver  Downloadable logos,No
10,Haier,V280,GSM,GSM 900 / 1800,Class 10,No,2005,Discontinued,109 x 44 x 14.5 mm (4.29 x 1.73 x 0.57 in),80 g (2.82 oz),Mini-SIM,65K colors,,128 x 160 pixels,Screensaver  Downloadable logos,No
11,Haier,V190,GSM,GSM 900 / 1800,Class 10,No,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),90 g (3.17 oz),Mini-SIM,65K colors,,"128 x 128 pixels, 1:1 ratio",Screensaver  Downloadable logos,No
12,Haier,V100,GSM,GSM 900 / 1800,Class 10,No,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),90 g (3.17 oz),Mini-SIM,65K colors,,"128 x 128 pixels, 1:1 ratio",Screensaver  Downloadable logos,No
13,Haier,P5,GSM,GSM 900 / 1800,No,No,2003,Discontinued,135 x 28 x 18 mm (5.31 x 1.10 x 0.71 in),75 g (2.65 oz),Mini-SIM,Monochrome,,"64 x 102 pixels, 16:10 ratio",Screensaver,No
14,Haier,Z8000,GSM,GSM 900 / 1800,Class 10,No,2004,Discontinued,83 x 44 x 23.8 mm (3.27 x 1.73 x 0.94 in),90 g (3.17 oz),Mini-SIM,4096 colors,,"128 x 128 pixels, 1:1 ratio",Second external B/W display (80 x 48 pixels)  Screensaver,No
15,Honor,8S 2020,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,"2020, May 27","Available. Released 2020, May 27",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm (~78.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,microSDXC (dedicated slot)
16,Honor,Play4,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, June 03","Available. Released 2020, June 13",170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.81 inches, 112.0 cm (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~386 ppi density)",,microSDXC
17,Honor,Play4 Pro,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, June 03","Available. Released 2020, June 10",162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,No
18,Honor,X10 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, May 20","Available. Released 2020, May 26",163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in),203 g (7.16 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.63 inches, 106.1 cm (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~397 ppi density)",90Hz refresh rate,"NM (Nano Memory), up to 256GB (uses shared SIM slot)"
19,Honor,V6,LTE / 5G,,No,No,"2020, May 19","Available. Released 2020, June 15",245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in),480 g (1.06 lb),No,"IPS LCD capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm (~81.1% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",,microSDXC
20,Honor,9A,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2020, April 29","Available. Released 2020, May 04",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm (~81.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",,microSDXC (dedicated slot)
21,Honor,9C,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 29","Available. Released 2020, May 04",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,microSDXC (dedicated slot)
22,Honor,9S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 29","Available. Released 2020, May 04",146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144 g (5.08 oz),"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~73.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,microSDXC (dedicated slot)
23,Honor,9X Lite,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 17","Available. Released 2020, May 14",160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),188 g (6.63 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.2 cm (~84.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~397 ppi density)",,microSDXC (uses shared SIM slot)
24,Honor,30 Pro+,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 15","Available. Released 2020, April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),190 g (6.70 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)",90Hz refresh rate,"NM (Nano Memory), up to 256GB (uses shared SIM slot)"
25,Honor,30 Pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 15","Available. Released 2020, April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)",,"NM (Nano Memory), up to 256GB (uses shared SIM slot)"
26,Honor,30,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 15","Available. Released 2020, April 21",160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in),185 g (6.53 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm (~86.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)",,"NM (Nano Memory), up to 256GB (uses shared SIM slot)"
27,Honor,20e,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,"2020, April 16","Available. Released 2020, April 27",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)",,microSDXC (uses shared SIM slot)
28,Honor,Play 4T Pro,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 09","Available. Released 2020, April 09",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm (~83.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)",,"NM (Nano Memory), up to 256GB (uses shared SIM slot)"
29,Honor,Play 4T,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 09","Available. Released 2020, April 14",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,microSDXC (uses shared SIM slot)
30,Honor,8A 2020,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, April 10","Available. Released 2020, April 15",156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,microSDXC (dedicated slot)
31,Honor,8A Prime,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, March 30","Available. Released 2020, March 30",156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,microSDXC (dedicated slot)
32,Honor,30S,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, March 30","Available. Released 2020, April 07",162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),190 g (6.70 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~83.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",HDR10,"NM (Nano Memory), up to 256GB (uses shared SIM slot)"
33,Honor,Play 9A,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2020, March 30","Available. Released 2020, April 03",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm (~81.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)",,microSDXC (dedicated slot)
34,Honor,View30 Pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, February 24","Available. Released 2020, April 27",162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.7 cm (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~400 ppi density)",,No
35,Honor,View30,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, February 24","Available. Released 2020, April 27",162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213 g (7.51 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,No
36,Honor,V30 Pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, November","Available. Released 2019, December",162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.7 cm (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~400 ppi density)",,No
37,Honor,MagicWatch 2,No cellular connectivity,,No,No,"2019, November","Available. Released 2019, December",45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),41 g (1.45 oz),No,"OLED capacitive touchscreen, 16M colors","1.39 inches, 12.5 cm (~59.4% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~326 ppi density)",,No
38,Honor,9X,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, October 28","Available. Released 2019, November 14",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),196.8 g (6.95 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)",,microSDXC (uses shared SIM slot)
39,Honor,20 lite (China),GSM / CDMA / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, October","Available. Released 2019, October",157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in),171.5 g (6.07 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm (~83.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)",600 nits typ. brightness (advertised),microSDXC (uses shared SIM slot)
40,Honor,Play 3e,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, September","Available. Released 2019, September",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm (~78.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,microSDXC (dedicated slot)
41,Honor,Play 3,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, September","Available. Released 2019, September",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)",,microSDXC (uses shared SIM slot)
42,Honor,20S,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, September","Available. Released 2019, October",154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),172 g (6.07 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)",,No
43,Honor,9X Pro,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, July 23","Available. Released 2019, August 09",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),202 g (7.13 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)",,microSDXC (uses shared SIM slot)
44,Honor,9X (China),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,"2019, July","Available. Released 2019, July",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)",,microSDXC (uses shared SIM slot)
45,Honor,8S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,"2019, April","Available. Released 2019, April",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm (~78.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,microSDXC (dedicated slot)
46,Honor,Pad 5 10.1,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, June","Available. Released 2019, July",243 x 164 x 7.8 mm (9.57 x 6.46 x 0.31 in),-,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm (~74.2% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",,microSDXC (dedicated slot)
47,Honor,Pad 5 8,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, June","Available. Released 2019, July",204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in),-,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm (~74.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",,microSDXC (dedicated slot)
48,Honor,20 Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, May","Available. Released 2019, July",154.6 x 74 x 8.4 mm (6.09 x 2.91 x 0.33 in),182 g (6.42 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)",,No
49,Honor,20,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, May","Available. Released 2019, June",154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),174 g (6.14 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)",,No
50,Honor,20 lite,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,"2019, April","Available. Released 2019, April",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)",,microSDXC (uses shared SIM slot)
51,HP,Slate8 Pro,No cellular connectivity,,No,No,"2013, December. Released 2013, December",Discontinued,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),453.6 g (1.00 lb),No,"Capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm (~63.7% screen-to-body ratio)","1200 x 1600 pixels, 4:3 ratio (~250 ppi density)",,microSDHC (dedicated slot)
52,HTC,U20 5G,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, June 16","Coming soon. Exp. release 2020, July",171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),215.5 g (7.62 oz),"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","6.8 inches, 111.6 cm (~83.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",,microSDXC
53,HTC,Desire 20 Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, June 16","Coming soon. Exp. release 2020, July",162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),201 g (7.09 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,microSDXC
54,HTC,Wildfire R70,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,,,"2020, February 27","Coming soon. Exp. release 2020, Q3",163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)",,microSDXC (uses shared SIM slot)
55,HTC,Desire 19s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, November 14","Available. Released 2019, November 14",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~82.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,microSDXC (uses shared SIM slot)
56,HTC,Exodus 1s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, October 19","Available. Released 2019, December",154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm (~74.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,No
57,HTC,Wildfire X,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, August 14","Available. Released 2019, August 22",156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~81.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,microSDXC (uses shared SIM slot)
58,HTC,U19e,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2019, June 11","Available. Released 2019, June 11",156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in),180 g (6.35 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm (~78.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",HDR10,microSDXC (uses shared SIM slot)
