,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
5748,Micromax,A113 Canvas Ego,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 10,Yes,"2013, Q3. Released 2013, Q3",Discontinued,143.4 x 72.4 x 9 mm (5.65 x 2.85 x 0.35 in),-,Dual SIM (Mini-SIM),"Capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~58.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5749,Micromax,A76,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2013, Q3. Released 2013, Q3",Discontinued,-,-,Dual SIM,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5750,Micromax,A74 Canvas Fun,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Yes,"2013, September. Released 2013, September",Discontinued,133 x 67 x 10.1 mm (5.24 x 2.64 x 0.40 in),-,Dual SIM,"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~62.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5751,Micromax,A67 Bolt,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2013, August. Released 2013, August",Discontinued,137.7 x 67.6 x 10.5 mm (5.42 x 2.66 x 0.41 in),-,Dual SIM,"TFT capacitive touchscreen, 256K colors","4.5 inches, 55.8 cm (~59.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5752,Micromax,A63 Canvas Fun,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Yes,"2013, Q3. Released 2013, Q3",Discontinued,124.5 x 65.7 x 11.3 mm (4.90 x 2.59 x 0.44 in),-,Dual SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~55.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5753,Micromax,A240 Canvas Doodle 2,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 12,"2013, August. Released 2013, August",Discontinued,161 x 82.5 x 8.9 mm,220 g (7.76 oz),Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",,No
5754,Micromax,A92,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,"2013, June. Released 2013, July",Discontinued,147 x 77 x 10.8 mm (5.79 x 3.03 x 0.43 in),-,Dual SIM (Mini-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm (~62.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5755,Micromax,Canvas 4 A210,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, June. Released 2013, July",Discontinued,144.5 x 73.8 x 8.9 mm (5.69 x 2.91 x 0.35 in),158 g (5.57 oz),Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~64.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5756,Micromax,A88,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,2013. Released 2013,Discontinued,135 x 68.7 x 11.3 mm (5.31 x 2.70 x 0.44 in),-,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~60.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5757,Micromax,A110Q Canvas 2 Plus,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 12,"2013, May. Released 2013, May",Discontinued,147 x 76.5 x 9.7 mm (5.79 x 3.01 x 0.38 in),164 g (5.78 oz),Dual SIM (Mini-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~61.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5758,Micromax,X322,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,,2013. Released 2013,Discontinued,130.8 x 58.2 x 14.2 mm (5.15 x 2.29 x 0.56 in),108 g (3.81 oz),Dual SIM,TFT,"2.8 inches, 24.3 cm (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 8 GB (dedicated slot)"
5759,Micromax,X321,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,,2013. Released 2013,Discontinued,127.8 x 56 x 8.9 mm (5.03 x 2.20 x 0.35 in),98.6 g (3.46 oz),Dual SIM,TFT,"2.8 inches, 24.3 cm (~33.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 8 GB (dedicated slot)"
5760,Micromax,X295,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Yes,2013. Released 2013,Discontinued,121 x 51 x 10.8 mm (4.76 x 2.01 x 0.43 in),-,Dual SIM,TFT,"2.6 inches, 20.9 cm (~33.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,"microSD, up to 4 GB (dedicated slot)"
5761,Micromax,X286,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,No,No,2013. Released 2013,Discontinued,119 x 51 x 14.5 mm (4.69 x 2.01 x 0.57 in),-,Dual SIM,TFT,"2.4 inches, 17.8 cm (~29.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 4 GB (dedicated slot)"
5762,Micromax,X278,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,No,2013. Released 2013,Discontinued,123 x 50 x 15.8 mm (4.84 x 1.97 x 0.62 in),-,Dual SIM,TFT,"2.4 inches, 17.8 cm (~29.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 16 GB (dedicated slot)"
