Region,Country,Brand
Africa, Algeria,Condor
Asia, Bangladesh,Walton
Oceania, Australia,Kogan
South America, Brazil,Gradiente
South America, Brazil,Multilaser
South America, Brazil,Positivo
Asia, China,10.Or (Tenor)
Asia, China,Amoi
Asia, China,BBK
Asia, China,Coolpad
Asia, China,Cubot
Asia, China,Gfive
Asia, China,Haier
Asia, China,Hisense
Asia, China,Honor
Asia, China,Huawei
Asia, China,Konka
Asia, China,LeEco
Asia, China,Meitu
Asia, China,Meizu
Asia, China,Ningbo Bird
Asia, China,OnePlus
Asia, China,Oppo
Asia, China,iQOO
Asia, China,Itel Mobile
Asia, China,Realme
Asia, China,Smartisan
Asia, China,TCL Corporation
Asia, China,Technology Happy Life
Asia, China,Tecno Mobile
Asia, China,Umidigi
Asia, China,Vivo
Asia, China,Vsun
Asia, China,Wasam
Asia, China,Xiaomi
Asia, China,ZTE
Asia, China,ZUK Mobile (2015-2017)
Europe, Czech Republic,Jablotron
Europe, Czech Republic,Verzo
Africa, Egypt,SICO Technology
Europe, Finland,Jolla
Europe, Finland,Nokia Corporation
Europe, Finland,HMD Global
Europe, Finland,Bittium
Europe, France,Archos
Europe, France,Alcatel Mobile
Europe, France,Groupe Bull
Europe, France,MobiWire
Europe, France,Wiko
Europe, Germany,Gigaset
Europe, Germany,Medion
Europe, Germany,TechniSat
Europe, Germany,Tiptel
Europe, Greece,MLS
Asia, Hong Kong,X-tigi Mobile
Asia, Hong Kong,Lenovo
Asia, Hong Kong,Infinix
Asia, India,Celkon
Asia, India,Iball
Asia, India,Intex Technologies
Asia, India,Karbonn Mobiles
Asia, India,Lava International
Asia, India,HCL Technologies
Asia, India,Jio
Asia, India,LYF
Asia, India,Micromax Informatics
Asia, India,Onida Electronics
Asia, India,Spice Digital
Asia, India,Videocon
Asia, India,Xolo
Asia, Indonesia,Nexian
Asia, Indonesia,MiTO
Asia, Indonesia,Advan
Asia, Indonesia,Evercoss
Asia, Indonesia,SPC
Europe, Italy,Brondi
Europe, Italy,Q.Bell
Europe, Italy,New Generation Mobile
Europe, Italy,Olivetti
Asia, Japan,Akai
Asia, Japan,Fujitsu
Asia, Japan,Casio
Asia, Japan,Hitachi
Asia, Japan,JRC
Asia, Japan,Kyocera
Asia, Japan,Mitsubishi Electric
Asia, Japan,NEC
Asia, Japan,Panasonic
Asia, Japan,Sansui
Asia, Japan,Sharp
Asia, Japan,Sony
Asia, Japan,Toshiba
Europe, Latvia,Just5
Asia, Malaysia,M Dot
Asia, Malaysia,Ninetology
North America, Mexico,Kyoto Electronics
North America, Mexico,Lanix
North America, Mexico,Zonda
Europe, Netherlands,Fairphone
Europe, Netherlands,John's Phone
Europe, Netherlands,Philips
Asia, North Korea,Arirang[citation needed]
Asia, Pakistan,QMobile
Asia, Philippines,Cherry Mobile
Asia, Philippines,Firefly Mobile (PH)
Asia, Philippines,Starmobile
Asia, Philippines,Cloudfone
Asia, Philippines,MyPhone
Asia, Philippines,Torque
Europe, Poland,Kruger&Matz 
Europe, Poland,Manta Multimedia
Europe, Poland,myPhone (Poland)
Europe, Romania,Allview
Europe, Romania,Evolio
Europe, Romania,E-Boda
Europe, Romania,Myria
Europe, Romania,Utok
Eurasia, Russia,Beeline
Eurasia, Russia,Explay
Eurasia, Russia,Gresso
Eurasia, Russia,Highscreen
Eurasia, Russia,Megafon
Eurasia, Russia,MTS
Eurasia, Russia,RoverPC
Eurasia, Russia,teXet
Eurasia, Russia,Sitronics
Eurasia, Russia,Yotaphone
Africa, South Africa,Cell C
Africa, South Africa,MTN
Africa, South Africa,Mobicel
Africa, South Africa,Telkom
Africa, South Africa,Vodacom
Asia, South Korea,KT Tech
Asia, South Korea,Pantech
Asia, South Korea,Samsung
Europe, Sweden,Doro
Asia, Taiwan,Acer
Asia, Taiwan,Asus
Asia, Taiwan,BenQ
Asia, Taiwan,DBTel
Asia, Taiwan,Foxconn
Asia, Taiwan,Gigabyte Technology
Asia, Taiwan,HTC
Asia, Thailand,AIS
Asia, Thailand,DTAC
Asia, Thailand,TRUE
Asia, Thailand,Wellcom
Asia, Thailand,I-Mobile
Africa, Tunisia,EvertekTunisie
Europe, Turkey,ASELSAN
Europe, Turkey,Vestel
Middle East, United Arab Emirates,Thuraya
Europe, United Kingdom,Bullitt Group
Europe, United Kingdom,Wileyfox
Europe, United Kingdom,Nothing
North America, United States,Apple
North America, United States,BLU Products
North America, United States,Caterpillar
North America, United States,Firefly
North America, United States,Garmin
North America, United States,Google
North America, United States,HP
North America, United States,InFocus
North America, United States,InfoSonics[4]
North America, United States,Microsoft
North America, United States,Motorola Mobility
North America, United States,Obi Worldphone
North America, United States,Nextbit (2016-2017)
North America, United States,"Purism, SPC"
Asia, Vietnam,BPhone
Asia, Vietnam,Masstel
Africa, Zimbabwe,GTel
