,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length
10,Jaguar,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera onca,"15,000",11-20 yrs,80 km/h,56-96 kg,63-76 cm,1-1.8 m
11,Horse,Przewalski's Horse,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,,,,,
12,Raccoon,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,Procyon,Procyon lotor,Unknown,2-20 yrs,24 km/h,2-14 kg,23-30 cm,40-70 cm
13,Polar Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus maritimus,22-31 Thou,25-30 yrs,40 km/h,150-800 kg,1.6 m,1.8-2.5 m
14,Cheetah,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Acinonyx,Acinonyx jubatus,"6,674",10-20 yrs,112 km/h,21-72 kg,70-90 cm,112-150 cm
15,Platypus,Animalia,Chordata,Vertebrata,Mammalia,Monotremata,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,Unknown,12-20 yrs,35 km/h,0.7-2.4 kg,,43-50 cm
16,Coyote,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis latrans,Unknown,10-18 yrs,64 km/h,7-20 kg,53-61 cm,1-1.4 m
17,Moose,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Alces,Alces alces,,15-25 years,32 km/h,270-720 kg,1.8-2.1 m,2.4-3.2 m
18,Bobcat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Lynx,Lynx rufus,,12-25 yrs,55 km/h,4-18 kg,30-60 cm,47.5-125 cm
19,Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera pardus,Unknown,10-20 yrs,58 km/h,28-90 kg,57-70 cm,90-190 cm
20,Narwhal,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Monodontidae,Monodon,Monodon monoceros,"80,000",50 yrs,,"800-1,600 kg",,4-5.5m
21,Common Hippo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,125-148 Thou,40-50 yrs,30 km/h,1-4.5 t,1.6 m,2.7-3.5 m
22,Wolverine,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Gulo,Gulo gulo,Unknown,5-17 yrs,48 km/h,9-25 kg,30-45 cm,65-107 cm
23,Red Panda,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ailuridae,Ailurus,Ailurus fulgens,16-20 Thou,8-14 yrs,38 km/h,3-6.2 kg,,50-64 cm
24,Dingo,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis dingo,Unknown,5-15 yrs,48 km/h,13-20 kg,52-60 cm,117-154 cm
25,Capybara,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,Unknown,6-12 yrs,35 km/h,35-66 kg,50-62 cm,106-134 cm
26,Tasmanian Devil,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Sarcophilus,Sarcophilus harrisii,10-25 Thou,5-8 yrs,24 km/h,4-12 kg,,52-80 cm
27,Domestic Guinea Pig,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Cavia,Cavia porcellus,Unknown,8-14 yrs,,"700-1,200 g",,20-25 cm
28,Alpaca,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Vicugna,Vicugna pacos,3.5 mln,5-20 yrs,48 km/h,55-65 kg,81-99 cm,1200-2250 mm
29,Domestic Sheep,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Ovis,Ovis aries,"7,500",10-20 yrs,,45-160 kg,,120-180 cm
30,American Bison,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bison,Bison bison,"11,248-13,12",15-40 yrs,35 km/h,318-1000 kg,152-186 cm,2-3.5 m
31,Bonobo,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hominidae,Pan,Pan paniscus,"29,5-50 Thou",35-50 yrs,40 km/h,30-60 kg,115 cm,70-83 cm
32,Honey Badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mellivora,Mellivora capensis,Unknown,7-26 yrs,30 km/h,5-16 kg,23-28 cm,77 cm
33,Goat,Wild Goat,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,
34,Donkey,African Wild Ass,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,Equus,Equus africanus asinus,41 Mln,12-50 yrs,24 km/h,
35,Bengal tiger,Tiger,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,
36,Llama,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Lama,Lama glama,,15-25 yrs,45 km/h,130-200 kg,1.7-1.8 m,
37,Wild Boar,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Suidae,Sus,Sus scrofa,Unknown,2-27 yrs,48 km/h,80-175 kg,55-100 cm,153-240 cm
38,Red Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Vulpes,Vulpes vulpes,Unknown,5-15 yrs,50 km/h,3-14 kg,35-50 cm,45-90 cm
39,Groundhog,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Marmota,Marmota monax,Unknown,3-10 yrs,16 km/h,2-4 kg,,40-65 cm
40,Snow Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Uncia uncia,"2,710-3,386",15-21 yrs,88 km/h,27-55 kg,60 cm,75-150 cm
41,Raccoon Dog,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Nyctereutes,Nyctereutes procyonoides,Unknown,6-11 yrs,40 km/h,3-10 kg,,50-65 cm
42,American Black Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus americanus,850-950 Thou,10-30 yrs,48 km/h,100-270 kg,1.3-1.8 m,1200.0-2000.
43,Meerkat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Suricata,Suricata suricatta,"500,000",5-15 yrs,32 km/h,0.7-0.9 kg,,25-35 cm
44,African Wild Dog,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Lycaon,Lycaon pictus,"6,600",10-11 yrs,66 km/h,18-36 kg,60-75 cm,71-112 cm
45,Fisher,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Pekania,Pekania pennanti,Unknown,10 yrs,,2-6 kg,,75-120 cm
46,Walrus,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Odobenidae,Odobenus,Odobenus rosmarus,"over 225,000",30-40 yrs,35 km/h,"850-1,700 kg",,270-320 cm
47,Domesticated Ferret,European Polecat,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Mustelidae,Mustelinae,,Mustela,Mustela putorius furo,7-10 yrs,,25 km/h
48,Beluga Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Monodontidae,Delphinapterus,Delphinapterus leucas,"136,000",40 yrs,22 km/h,"700-1,600 kg",,3-5.5 m
49,Reindeer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Rangifer,Rangifer tarandus,"2,890,410",15-20 yrs,80 km/h,80-182 kg,85-150 cm,162-214 cm
50,Elk,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Cervus,Cervus canadensis,2 mln,8-20 yrs,56 km/h,225-320 kg,1.3-1.5 m,2-2.5 m
51,Ocelot,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Leopardus,Leopardus pardalis,Unknown,7-20 yrs,61 km/h,8-18 kg,,68-100 cm
52,Coypu,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Echimyidae,Myocastor,Myocastor coypus,Unknown,6-10 yrs,,4-9 kg,,40-60 cm
53,Sugar Glider,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Petauridae,Petaurus,Petaurus breviceps,Unknown,4-14 yrs,,100-160 g,,24-30 cm
54,Common Chimpanzee,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hominidae,Pan,Pan troglodytes,,50-60 yrs,40 km/h,32-60 kg,1.3-1.6 m,63-94 cm
55,Serval,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Leptailurus,Leptailurus serval,,,,9-18 kg,,60 cm
56,Bush Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Rattus,Rattus fuscipes,Unknown,1-5 yrs,,,,12-21 cm
57,Okapi,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Giraffidae,Okapia,Okapia johnstoni,30-50 Thou,20-33 yrs,60 km/h,200-350 kg,1.5 m,2.5 m
58,Humpback Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Balaenopteridae,Megaptera,Megaptera novaeangliae,"60,000",100 yrs,17 km/h,25-30 t,,13-16 m
59,Caracal,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Caracal,Caracal caracal,Unknown,12-17 yrs,80 km/h,8-18 kg,40-50 cm,73-78 cm
60,Arctic Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Vulpes,Vulpes lagopus,Unknown,3-14 yrs,45 km/h,1.4-9.4 kg,25-30 cm,52-55 cm
61,Fennec Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Vulpes,Vulpes zerda,Unknown,10-12 yrs,40 km/h,0.68-1.6 kg,20 cm,24-41 cm
62,Muskart,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Ondatra,Ondatra zibethicus,Unknown,3-10 yrs,4.8 km/h,0.6-2 kg,,40-70 cm
63,Kodiak bear,Brown Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,
64,Asian Lion,Lion,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera leo persica,350,16-18 yrs,56 km/h,110-190 kg
65,Ermine,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mustela,Mustela erminea,Unknown,1-12.5 yrs,,180-258 g,,170-325 mm
66,Japanese raccoon dog,Raccoon Dog,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,
67,Pronghorn,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Antilocapridae,,Antilocapra americana,1 Mln,10-12 yrs,96 km/h,34-65 kg,81-104 cm,1.3-1.5 m
68,White-Tailed Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Odocoileus,Odocoileus virginianus,,6-20 yrs,64 km/h,52-140 kg,80-100 cm,1.8-2.4 m
69,Sea Otter,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Enhydra,Enhydra lutris,"126,000",19-23 yrs,11 km/h,14-45 kg,,1-1.5 m
70,Water Buffalo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bubalus,Bubalus bubalis,172 mln,25-29 yrs,,300-550 kg,120-133 cm,240-300 cm
71,Sable,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Martes,Martes zibellina,Unknown,8-18 yrs,,"700-1,800 g",,35-56 cm
72,Sperm Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Physeteridae,Physeter,Physeter macrocephalus,100-360 Thou,70 yrs,45 km/h,12-40.8 t,,11-18 m
73,Mandrill,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Mandrillus,Mandrillus sphinx,Unknown,25-40 yrs,40 km/h,10-37 kg,45-65 cm,55-95 cm
74,Spotted Hyena,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Hyaenidae,Crocuta,Crocuta crocuta,27-47 Thou,20-40 yrs,60 km/h,40.5-64 kg,70-91.5 cm,95-166 cm
75,Fossa,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Eupleridae,Cryptoprocta,Cryptoprocta ferox,"2,635-8,626",15-20 yrs,56 km/h,5.5-8.6 kg,,70-80 cm
76,White Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,Perissodactyla,,Rhinocerotidae,Ceratotherium,Ceratotherium simum,"18,064",45-50 yrs,42 km/h,1440-3600 kg,160-186 cm,3.4-4 m
77,Domestic Pig,Wild Boar,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa domesticus,784.83 Mln,9-12 yrs,,17 km/h
78,Vaquita,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Phocoenidae,Phocoena,Phocoena sinus,below 250,20 yrs,,45-50 kg,,135-141 cm
79,Binturong,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Viverridae,Arctictis,Arctictis binturong,Unknown,18-25 yrs,24 km/h,9-14 kg,,71-84 cm
80,Gaur,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bos,Bos gaurus,13-30 Thou,26 yrs,,"650-1,000 kg",165-220 cm,250-330 cm
81,Asian Elephant,Animalia,Chordata,Vertebrata,Mammalia,Proboscidea,,Elephantidae,Elephas,Elephas maximus,41-52 Thou,70 yrs,43 km/h,2.7-4 t,2.4-2.8 m,5.5-6.5 m
82,Aardvark,Animalia,Chordata,Vertebrata,Mammalia,Tubulidentata,,Orycteropodidae,Orycteropus,Orycteropus afer,Unknown,18-23 yrs,38-42 km/h,60-80 kg,60 cm,105-130 cm
83,Dugong,Animalia,Chordata,Vertebrata,Mammalia,Sirenia,,Dugongidae,Dugong,Dugong dugon,"85,000",70 yrs,22 km/h,150-400 kg,,2.7-3 m
84,Asian Palm Civet,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,Unknown,15-24 yrs,,2-5 kg,,48-59 cm
85,Naked Mole-Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heterocephalidae,Heterocephalus,Heterocephalus glaber,Unknown,32 yrs,,30-35 g,,8-10 cm
86,Red Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Cervus,Cervus elaphus,Unknown,20 yrs,70 km/h,120-240 kg,95-130 cm,160-250 cm
87,Sloth Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Melursus,Melursus ursinus,"20,000",40 yrs,,55-145 kg,60-92 cm,1.4-1.9 m
88,House Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Mus,Mus musculus,Unknown,12 mos-6 yrs,13 km/h,10-25 g,,7.5-10 cm
89,Giant Golden-Crowned Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Acerodon,Acerodon jubatus,"10,000",12-23 yrs,,1050-1200 g,,178-290 mm
90,Muskox,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Ovibos,Ovibos moschatus,133-136 Thou,12-20 yrs,60km/h,180-410 kg,1-1.5 m,135-250 cm
91,Brown Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Rattus,Rattus norvegicus,Unknown,2-4 yrs,,250-350 g,,20-25 cm
92,Florida panther,Cougar,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,Puma,,
93,African Buffalo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Syncerus,Syncerus caffer,569-573 Thou,11-29 yrs,,"250-1,000 kg",1-1.7 m,1.7-3.4 m
94,Rusty-Spotted Cat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Prionailurus,Prionailurus rubiginosus,"below 10,000",18 yrs,,0.9-1.6 kg,,35-48 cm
95,Dhole,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Cuon,Cuon alpinus,"4,500-10,500",16 yrs,72.4 km/h,12-18 kg,42-55 cm,88-113 cm
96,Clouded Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Neofelis,Neofelis nebulosa,"below 10,000",11-17 yrs,64 km/h,11.5-23 kg,50-55 cm,68-108 cm
97,Northern white rhinoceros,White Rhinoceros,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Rhinocerotidae,,,,,,
98,Maned Wolf,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Chrysocyon,Chrysocyon brachyurus,"17,000",13-15 yrs,,23 kg,90 cm,100 cm
99,Sun Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Helarctos,Helarctos malayanus,Unknown,30 yrs,48 km/h,27-80 kg,,120-150 cm
100,Pallas's Cat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Otocolobus,Otocolobus manul,"58,000",8-11.5 yrs,,2.5-4.5 kg,,46-65 cm
101,African Bush Elephant,Animalia,Chordata,Vertebrata,Mammalia,Proboscidea,,Elephantidae,Loxodonta,Loxodonta africana,"above 15,000",60-75 yrs,40 km/h,"3,600-5,400",3-3.5 m,2.2-4 m
102,Domestic Yak,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bos,Bos grunniens,,25 yrs,,225-585 kg,105-138 cm,3250 mm
103,Eastern Gray Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus carolinensis,Unknown,12.5-20 yrs,25 km/h,400-600 g,,23-30 cm
104,Indian Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,Perissodactyla,,Rhinocerotidae,Rhinoceros,Rhinoceros unicornis,"3-3,5 Thou",40-50 yrs,42 km/h,"1,6-2,2 t",148-186 cm,310-380 cm
105,Bactrian Camel,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Camelus,Camelus bactrianus,above 1 mln,20-50 yrs,64 km/h,"300-1,000 kg",180-230 cm,225-350 cm
106,Black Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,Perissodactyla,,Rhinocerotidae,Diceros,Diceros bicornis,"4,880-5,000",30-49 yrs,42-58 km/h,"800-1,400 kg",140-180 cm,3-3.8 m
107,Markhor,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Capra,Capra falconeri,"5,754",10-13 yrs,17 km/h,32-110 kg,65-115 cm,132-186 cm
108,Amur leopard,Leopard,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,
109,Eurasian Lynx,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Lynx,Lynx lynx,70-80 Thou,13-25 yrs,80 km/h,8-30 kg,60-75 cm,80-130 cm
110,Dromedary Camel,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Camelus,Camelus dromedarius,,40-50 yrs,64 km/h,300-600 kg,1.7-2 m,2-3 m
111,Red wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,Canis,,
112,Zebu,Highland Cattle,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Bovinae,,,,,,
113,Quagga,Plains Zebra,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,,Equus,,Equus quagga quagga,20-40 yrs,250-300 kg
114,Common Warthog,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Suidae,Phacochoerus,Phacochoerus africanus,Unknown,12-18 yrs,,45-150 kg,63.5-85 cm,0.9-1.5 m
115,Canadian Lynx,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Lynx,Lynx canadensis,Unknown,15 yrs,80 km/h,5-17 kg,48-56 cm,76-106 cm
116,Aye-Aye,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Daubentoniidae,Daubentonia,Daubentonia madagascariensis,1-10 thou,23 yrs,32 km/h,2-2.7 kg,,30-40 cm
117,Impala,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Aepyceros,Aepyceros melampus,2 Mln,15 yrs,48 km/h,40-76 kg,70-92 cm,120-160 cm
118,Pine Marten,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Martes,Martes martes,Unknown,10-17 yrs,,0.9-2 kg,,40-55 cm
119,Leopard Seal,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Phocidae,Hydrurga,Hydrurga leptonyx,"above 35,000",26 yrs,40 km/h,200-600 kg,,2.4-3.5 m
120,American Badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Taxidea,Taxidea taxus,Unknown,9-15 yrs,30 km/h,7-9 kg,,60-75 cm
121,Nilgai,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Boselaphus,Boselaphus tragocamelus,Unknown,10-21 yrs,46 km/h,100-288 kg,1-1.5 m,1.7-2 m
122,Vicuna,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Vicugna,Vicugna vicugna,"347,273",20-25 yrs,45 km/h,35-65 kg,75-85 cm,1.5-1.6 m
123,False Killer Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Pseudorca,Pseudorca crassidens,Unknown,60 yrs,,1.3-1.4 t,,5-6 m
124,Blackbuck,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Antilope,Antilope cervicapra,"50,000",10-15 yrs,80 km/h,20-57 kg,74-84 cm,100-150 cm
125,Wisent,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bison,Bison bonasus,"6,573",14-28 yrs,,300-920 kg,1.6-2 m,2-3.5 m
126,Kinkajou,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Procyonidae,Potos,Potos flavus,Unknown,20-40 yrs,,1.4-4.6 kg,,40-60 cm
127,Amazon River Dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Iniidae,Inia,Inia geoffrensis,Unknown,30 yrs,30 km/h,100-160 kg,,2-2.6 m
128,Red Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus vulgaris,,5-10 yrs,22.5 km/h,250-340 g,,19-23 cm
129,North American River Otter,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Lontra,Lontra canadensis,"100,000",14-25 yrs,29 km/h,6-9 kg,,66-110 cm
130,Bowhead Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Balaenidae,Balaena,Balaena mysticetus,"10,000",100-200 yrs,10 km/h,50-60 t,,14-18 m
131,Virginia Opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Didelphis,Didelphis virginiana,,2-4 yrs,7 km/h,0.3-6.4 kg,,35-94 cm
132,Black-Footed Cat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Felis,Felis nigripes,"below 10,000",10-12 yrs,,1.5-3 kg,25 cm,37-43 cm
133,Mule Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Odocoileus,Odocoileus hemionus,Unknown,9-22 yrs,72 km/h,43-150 kg,80-106 cm,1-2 m
134,California grizzly bear,Brown Bear,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,,,,,,
135,American Mink,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Neovison,Neovison vison,Unknown,10 yrs,6.5 km/h,"400-1,580 g",,31-45 cm
136,Jaguarundi,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Puma,Puma yagouaroundi,Unknown,15 yrs,96 km/h,3.5-9 kg,,53-77 cm
137,Bighorn Sheep,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Ovis,Ovis canadensis,"70,000",9-14 yrs,30 km/h,34-143 kg,76-104 cm,140-200 cm
138,Fallow Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Dama,Dama dama,Unknown,12-25 yrs,50 km/h,30-100 kg,75-95 cm,130-160 cm
139,Spectacled Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Tremarctos,Tremarctos ornatus,"2,5-10 thou",20-36 yrs,48 km/h,35-200 kg,60-90 cm,120-200 cm
140,Guanaco,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Lama,Lama guanicoe,1.5-2.2 mln,20-25 yrs,64 km/h,96-130 kg,1-1.2 m,190-215 cm
