,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length
0,Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis lupus,"400,000",10-20 yrs,75 km/h,16-60 kg,80-85 cm,105-160 cm
1,Tiger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera tigris,"2,154-3,159",10-15 yrs,96 km/h,65-306 kg,,200-390 cm
2,Brown Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus arctos,"200,000",20-50 yrs,56 km/h,100-635 kg,70-153 cm,1.4-2.8 m
3,Blue Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Balaenopteridae,Balaenoptera,Balaenoptera musculus,10-25 Thou,80-90 yrs,20 km/h,100-160 t,,25-30 m
4,Killer Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Orcinus,Orcinus orca,"50,000",30-100 yrs,45 km/h,3-6 t,,6-9 m
5,Giant Panda,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ailuropoda,Ailuropoda melanoleuca,"1,800",20-30 yrs,32 km/h,70-160 kg,60-90 cm,1.2-1.9 m
6,Lion,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera leo,"20,000",12-25 yrs,56 km/h,120-249 kg,,140-250 cm
7,Koala,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,"300,000",15 yrs,10 km/h,4-15 kg,60-85 cm,
8,Cougar,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Puma,Puma concolor,"below 50,000",10-20 yrs,45 km/h,29-100 kg,60-90 cm,2-2.4 m
9,Quokka,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Setonix,Setonix brachyurus,"7,850-17,150",5-10 yrs,32 km/h,2.5-5 kg,,40-54 cm
